 "Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.429948167E0,8.758357215E-1,4.223938833E0,-2.987350663E0
4.454780167E0,-1.718894291E-1,4.821209692E0,-2.961752722E0
4.479619500E0,-1.229920297E0,4.715574771E0,-2.650489061E0
4.504451500E0,-1.622311737E0,5.132565447E0,-2.166428483E0
4.529290500E0,-2.071283759E0,6.612324990E0,-3.116960045E0
4.554122500E0,-2.581264459E0,7.021631840E0,-3.315964183E0
4.578961500E0,-2.316325364E0,6.310687015E0,-1.593469176E0
4.603793500E0,-2.309878224E0,5.420644898E0,8.163531661E-2
4.628632500E0,-1.897050181E0,2.967693493E0,1.096756466E0
4.653464500E0,-1.434032562E0,9.881303287E-1,1.607998338E0
4.678303500E0,6.359800118E-1,-2.346659549E0,1.373792793E0
4.703135500E0,1.307526298E0,-5.333420228E0,3.561795601E-1
4.727974500E0,1.360381619E0,-7.847770321E0,1.918521742E0
4.752806500E0,7.021418417E-1,-6.972321686E0,2.332001749E0
4.777645500E0,-1.277052364E0,-2.176780978E0,-1.430251168E0
4.802477500E0,-1.178923806E0,1.335489145E0,-2.257306931E0
4.827316500E0,6.590532417E0,6.567986723E0,1.647109194E0
4.852148500E0,6.065860587E0,2.298575556E-1,6.991658428E0
4.876987500E0,2.986330909E0,-3.443003713E0,-5.189359453E0
4.901819500E0,-1.115757505E0,8.278767418E0,-4.279978255E0
4.926658500E0,-4.639017761E0,1.246235432E1,-2.158504336E0
4.951490500E0,-1.287855095E0,3.775741567E0,-5.696543430E0
4.976329500E0,1.985085275E0,-3.756056915E-1,5.809268685E-1
5.001161500E0,1.559975740E0,-8.135351005E-1,2.163031250E-2
5.026000500E0,-9.042584521E-1,5.347511141E-1,-1.272497383E0
5.050832500E0,-1.327267082E0,4.619747677E-1,-2.073249593E0
5.075671500E0,-5.361352962E-1,-5.226182878E-2,-8.538045824E-1
5.100503500E0,-4.949551105E-2,-7.837538425E-1,-6.839350739E-1
5.125342500E0,-9.810359019E-1,2.980455919E-1,-5.494552535E-1
5.150174500E0,-5.333280480E-1,5.841046840E-1,-7.378601432E-1
5.175013500E0,3.835598052E-2,1.440274831E-1,-1.875494421E-3
5.199845500E0,-5.126610643E-1,-4.956959528E-1,5.065109628E-1
