"Time (s)","Pressure (hPa)"
5.726549318E1,9.803232422E2
5.736505528E1,9.804726562E2
5.746461878E1,9.806755371E2
5.756418091E1,9.805935059E2
5.766374368E1,9.805244141E2
5.776330758E1,9.805056152E2
5.786287244E1,9.805634766E2
5.796243878E1,9.806560059E2
5.806200741E1,9.807436523E2
5.816157641E1,9.806943359E2
5.826114314E1,9.806608887E2
5.836070934E1,9.806538086E2
5.846027247E1,9.806723633E2
5.855983534E1,9.807338867E2
5.865939527E1,9.808686523E2
5.875895681E1,9.808010254E2
5.885851604E1,9.807121582E2
5.895807321E1,9.806660156E2
5.905763270E1,9.806892090E2
5.915719621E1,9.807897949E2
5.925676097E1,9.808872070E2
5.935632874E1,9.809582520E2
5.945589654E1,9.809001465E2
5.955546490E1,9.808330078E2
5.965503370E1,9.807749023E2
5.975460200E1,9.807280273E2
5.985416894E1,9.807517090E2
5.995373524E1,9.808579102E2
6.005330180E1,9.807668457E2
6.015286930E1,9.807109375E2
6.025243934E1,9.806899414E2
6.035200897E1,9.807231445E2
6.045157860E1,9.808081055E2
6.055114700E1,9.808920898E2
6.065071413E1,9.808312988E2
6.075027900E1,9.808325195E2
6.084984123E1,9.808364258E2
6.094940083E1,9.808364258E2
6.104895877E1,9.808381348E2
6.114851580E1,9.809128418E2
6.124807300E1,9.808935547E2
6.134763113E1,9.808383789E2
6.144718983E1,9.807502441E2
6.154674726E1,9.807124023E2
6.164630427E1,9.806936035E2
6.174585956E1,9.807121582E2
6.184541770E1,9.807546387E2
6.194497676E1,9.808164062E2
6.204453600E1,9.808342285E2
6.214409440E1,9.808376465E2
6.224365310E1,9.808691406E2
6.234321033E1,9.808857422E2
6.244276666E1,9.808342285E2
6.254232330E1,9.807795410E2
6.264188020E1,9.807390137E2
6.274143960E1,9.806779785E2
6.284100080E1,9.806330566E2
6.294056353E1,9.805808105E2
6.304012663E1,9.804973145E2
6.313968883E1,9.804116211E2
6.323924883E1,9.804116211E2
6.333880783E1,9.804094238E2
6.343836596E1,9.803364258E2
6.353792390E1,9.803364258E2
6.363748183E1,9.803413086E2
6.373703966E1,9.804218750E2
6.383659659E1,9.804218750E2
6.393615389E1,9.804738770E2
6.403571143E1,9.805000000E2
6.413526793E1,9.805000000E2
6.423482233E1,9.805063477E2
6.433437523E1,9.804389648E2
6.443392463E1,9.804389648E2
6.453347309E1,9.804011230E2
6.463302076E1,9.803403320E2
6.473256773E1,9.803403320E2
6.483211239E1,9.802497559E2
6.493165372E1,9.801337891E2
6.503119366E1,9.801337891E2
6.513073099E1,9.801525879E2
6.523026579E1,9.803283691E2
6.532979932E1,9.803283691E2
6.542933322E1,9.802993164E2
6.552886629E1,9.802746582E2
6.562840022E1,9.802746582E2
6.572793422E1,9.802770996E2
6.582746779E1,9.802263184E2
6.592699955E1,9.802263184E2
6.602653189E1,9.802265625E2
6.612606452E1,9.802138672E2
6.622559819E1,9.802138672E2
6.632513145E1,9.802087402E2
6.642466368E1,9.802636719E2
6.652419432E1,9.802636719E2
6.662372325E1,9.803354492E2
6.672325222E1,9.803725586E2
6.682278158E1,9.803725586E2
6.692230862E1,9.802412109E2
6.702183448E1,9.801623535E2
6.712136075E1,9.801623535E2
6.722088828E1,9.800830078E2
6.732041531E1,9.800805664E2
6.741994451E1,9.800805664E2
6.751947425E1,9.801037598E2
6.761900441E1,9.800532227E2
6.771853425E1,9.800532227E2
6.781806568E1,9.800551758E2
6.791759888E1,9.801289062E2
6.801713141E1,9.802133789E2
6.811666548E1,9.802465820E2
6.821620194E1,9.802541504E2
6.831573884E1,9.802360840E2
6.841527548E1,9.801726074E2
6.851481391E1,9.800729980E2
6.861435081E1,9.800017090E2
6.871388451E1,9.799462891E2
6.881341574E1,9.799094238E2
6.891294528E1,9.798662109E2
6.901247221E1,9.798115234E2
6.911199701E1,9.798049316E2
6.921151931E1,9.797573242E2
6.931103968E1,9.797893066E2
6.941055861E1,9.798142090E2
6.951007741E1,9.797861328E2
6.960959504E1,9.798073730E2
6.970911167E1,9.798171387E2
6.980862647E1,9.798251953E2
6.990814261E1,9.798513184E2
7.000765721E1,9.798876953E2
7.010717081E1,9.799086914E2
7.020668287E1,9.799301758E2
7.030619387E1,9.799506836E2
7.040570367E1,9.799543457E2
7.050521091E1,9.800065918E2
7.060471477E1,9.800168457E2
7.070421537E1,9.800227051E2
7.080371254E1,9.800822754E2
7.090320777E1,9.801118164E2
7.100270224E1,9.801213379E2
7.110219380E1,9.801459961E2
7.120168337E1,9.801828613E2
7.130117347E1,9.802075195E2
7.140066580E1,9.802390137E2
7.150015714E1,9.802475586E2
7.159964744E1,9.802307129E2
7.169913824E1,9.802031250E2
7.179862924E1,9.802170410E2
7.189812100E1,9.802380371E2
7.199761350E1,9.802817383E2
7.209710610E1,9.803334961E2
7.219660123E1,9.803862305E2
7.229609820E1,9.804472656E2
7.239559730E1,9.804245605E2
7.249509780E1,9.803957520E2
7.259459997E1,9.803508301E2
7.269410270E1,9.803476562E2
7.279360630E1,9.803430176E2
7.289311023E1,9.803610840E2
7.299261593E1,9.804033203E2
7.309212187E1,9.804157715E2
7.319162733E1,9.803452148E2
7.329113353E1,9.802912598E2
7.339064030E1,9.802353516E2
7.349014916E1,9.801984863E2
7.358966113E1,9.802233887E2
7.368917556E1,9.802666016E2
7.378869170E1,9.802878418E2
7.388820890E1,9.802687988E2
7.398772643E1,9.801628418E2
7.408724499E1,9.800632324E2
7.418676413E1,9.799956055E2
7.428628253E1,9.799621582E2
7.438579799E1,9.799782715E2
7.448531386E1,9.800034180E2
7.458483189E1,9.800895996E2
7.468435232E1,9.801232910E2
7.478387466E1,9.801340332E2
7.488339912E1,9.801728516E2
7.498292519E1,9.802255859E2
7.508245326E1,9.802687988E2
7.518198159E1,9.802900391E2
7.528151209E1,9.803222656E2
7.538104342E1,9.802895508E2
7.548057469E1,9.802895508E2
7.558010705E1,9.803095703E2
7.567964185E1,9.802355957E2
7.577917872E1,9.802355957E2
7.587871685E1,9.801979980E2
7.597825522E1,9.801188965E2
7.607779442E1,9.801188965E2
7.617733568E1,9.801250000E2
7.627687718E1,9.801369629E2
7.637641815E1,9.801369629E2
7.647595962E1,9.801083984E2
7.657549905E1,9.800356445E2
7.667503785E1,9.800356445E2
7.677457565E1,9.800119629E2
7.687411342E1,9.800651855E2
7.697365252E1,9.800651855E2
7.707319172E1,9.801381836E2
7.717273078E1,9.802341309E2
7.727226918E1,9.802341309E2
7.737180895E1,9.802456055E2
7.747134875E1,9.802138672E2
7.757088785E1,9.802138672E2
7.767042551E1,9.801489258E2
7.776996155E1,9.801518555E2
7.786949565E1,9.801518555E2
7.796902808E1,9.802360840E2
7.806855958E1,9.802436523E2
7.816809058E1,9.802436523E2
7.826762008E1,9.802077637E2
7.836714881E1,9.801865234E2
7.846667858E1,9.801865234E2
7.856620774E1,9.801462402E2
7.866573551E1,9.801750488E2
7.876526314E1,9.801750488E2
7.886478951E1,9.802189941E2
7.896431621E1,9.802883301E2
7.906384231E1,9.802883301E2
7.916336708E1,9.802980957E2
7.926289101E1,9.803020020E2
7.936241531E1,9.803020020E2
7.946193924E1,9.803269043E2
7.956146401E1,9.803393555E2
7.966098847E1,9.803393555E2
7.976051241E1,9.802937012E2
7.986003614E1,9.802590332E2
7.995955771E1,9.802590332E2
8.005907854E1,9.801875000E2
8.015859814E1,9.801691895E2
8.025811700E1,9.801875000E2
8.035763380E1,9.801967773E2
8.045714887E1,9.801958008E2
8.055666277E1,9.802165527E2
8.065617544E1,9.802607422E2
8.075568727E1,9.803476562E2
8.085519827E1,9.803398438E2
8.095470827E1,9.802653809E2
8.105421670E1,9.802304688E2
8.115372240E1,9.802028809E2
8.125322474E1,9.801779785E2
8.135272484E1,9.801699219E2
8.145222290E1,9.801931152E2
8.155171967E1,9.802409668E2
8.165121533E1,9.802248535E2
8.175070820E1,9.802050781E2
8.185020047E1,9.801833496E2
8.194969193E1,9.801574707E2
8.204918280E1,9.801462402E2
8.214867266E1,9.801501465E2
8.224816226E1,9.801315918E2
8.234765173E1,9.801354980E2
8.244714063E1,9.801635742E2
8.254662983E1,9.801696777E2
8.264611736E1,9.801640625E2
8.274560480E1,9.801855469E2
8.284509126E1,9.802319336E2
8.294457790E1,9.802966309E2
8.304406486E1,9.803725586E2
8.314355103E1,9.804516602E2
8.324303583E1,9.804794922E2
8.334251889E1,9.804572754E2
8.344200056E1,9.804001465E2
8.354148132E1,9.803854980E2
8.364096343E1,9.804094238E2
8.374044562E1,9.804367676E2
8.383992812E1,9.804875488E2
8.393941052E1,9.804743652E2
8.403889346E1,9.803720703E2
8.413837806E1,9.803588867E2
8.423786446E1,9.803293457E2
8.433735096E1,9.803728027E2
8.443683616E1,9.804035645E2
8.453632109E1,9.804978027E2
8.463580469E1,9.804396973E2
8.473528819E1,9.803696289E2
8.483477119E1,9.803906250E2
8.493425329E1,9.803852539E2
8.503373716E1,9.804079590E2
8.513322029E1,9.804851074E2
8.523270376E1,9.804484863E2
8.533218822E1,9.803669434E2
8.543167469E1,9.803735352E2
8.553116229E1,9.803718262E2
8.563065159E1,9.804130859E2
8.573014142E1,9.804704590E2
