"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.200946210E0,9.641879082E0,1.554587007E0,-5.333003402E-1
6.225946210E0,9.604789734E0,1.438535094E0,-4.351946115E-1
6.250946210E0,9.657432556E0,1.446909904E0,-4.962115884E-1
6.275946210E0,9.646664619E0,1.494766355E0,-5.201398134E-1
6.300946210E0,9.616754532E0,1.598854184E0,-5.620142221E-1
6.325946210E0,9.561718941E0,1.536640763E0,-6.050850153E-1
6.350946210E0,9.640682220E0,1.418196082E0,-4.722833633E-1
6.375946210E0,9.693324089E0,1.492373586E0,-3.681955934E-1
6.400946210E0,9.647860527E0,1.399053454E0,-4.028915167E-1
6.425946210E0,9.682557106E0,1.384696603E0,-4.004986882E-1
6.450946210E0,9.622735977E0,1.507926941E0,-4.926223755E-1
6.475946210E0,9.625128746E0,1.424178123E0,-4.423730969E-1
6.500946210E0,9.720842361E0,1.388285756E0,-4.627120793E-1
6.525946210E0,9.589237213E0,1.365404367E0,-4.471587241E-1
6.550946210E0,9.592825890E0,1.402642727E0,-4.100699723E-1
6.575946210E0,9.613164902E0,1.501944900E0,-5.117649436E-1
6.600946210E0,9.626325607E0,1.638335705E0,-5.285146832E-1
6.625946210E0,9.562915802E0,1.639532208E0,-5.153541565E-1
6.650946210E0,9.591629982E0,1.552194118E0,-4.292125702E-1
6.675946210E0,9.732806206E0,1.352243900E0,-4.052843451E-1
6.700946210E0,9.659825325E0,1.291226864E0,-3.789632916E-1
6.725946210E0,9.656235695E0,1.281655669E0,-4.435695112E-1
6.750946210E0,9.651450157E0,1.209870934E0,-4.854438901E-1
6.775946210E0,9.665806770E0,1.220638633E0,-4.112663865E-1
6.800946210E0,9.662218094E0,1.363011599E0,-4.579264224E-1
6.825946210E0,9.615557671E0,1.354636669E0,-4.674977362E-1
6.850946210E0,9.617950439E0,1.251745343E0,-5.321039557E-1
6.875946210E0,9.590433121E0,1.171585798E0,-4.387838542E-1
6.900946210E0,9.579665184E0,1.182353497E0,-5.285146832E-1
6.925946210E0,9.622735977E0,1.202692509E0,-5.979065299E-1
6.950946210E0,9.689735413E0,1.151246786E0,-6.074778438E-1
6.975946210E0,9.656235695E0,1.117747307E0,-5.703890920E-1
7.000946210E0,9.586843491E0,1.206281662E0,-4.076771438E-1
7.025946210E0,9.717252731E0,1.340279818E0,-4.818546474E-1
7.050946210E0,9.675378799E0,1.331904888E0,-5.033900738E-1
7.075946210E0,9.645467758E0,1.418196082E0,-5.727819204E-1
7.100946210E0,9.686145782E0,1.444517136E0,-6.134598851E-1
7.125946210E0,9.614361763E0,1.376321673E0,-5.333003402E-1
7.150946210E0,9.680164337E0,1.285244823E0,-5.297111273E-1
7.175946210E0,9.634700775E0,1.378714442E0,-5.512465239E-1
7.200946210E0,9.628718376E0,1.355833173E0,-6.026921868E-1
7.225946210E0,9.665806770E0,1.288834095E0,-5.297111273E-1
7.250946210E0,9.626325607E0,1.249352574E0,-5.033900738E-1
7.275946210E0,9.641879082E0,1.303191066E0,-5.177469850E-1
7.300946210E0,9.669396400E0,1.194317579E0,-5.488536954E-1
7.325946210E0,9.749555588E0,1.093819022E0,-5.153541565E-1
7.350946210E0,9.590433121E0,1.299601793E0,-5.189434290E-1
7.375946210E0,9.614361763E0,1.460070491E0,-5.297111273E-1
7.400946210E0,9.626325607E0,1.382303715E0,-6.171987057E-1
7.425946210E0,9.662218094E0,1.070937634E0,-5.392823815E-1
7.450946210E0,9.605986595E0,1.190728426E0,-4.950151742E-1
7.475946210E0,9.702896118E0,1.278066397E0,-6.279664040E-1
7.500946210E0,9.678967476E0,1.275673628E0,-5.739783049E-1
7.525946210E0,9.621540070E0,1.258923769E0,-5.213362575E-1
7.550946210E0,9.650253296E0,1.317547917E0,-5.979065299E-1
7.575946210E0,9.668199539E0,1.348654628E0,-5.787639618E-1
7.600946210E0,9.667003632E0,1.285244823E0,-5.835496187E-1
7.625946210E0,9.596415520E0,1.306780219E0,-5.679962635E-1
7.650946210E0,9.657432556E0,1.327119231E0,-4.854438901E-1
7.675946210E0,9.664610863E0,1.264905930E0,-5.895316601E-1
7.700946210E0,9.617950439E0,1.310369492E0,-5.225326419E-1
7.725946210E0,9.644271851E0,1.313958764E0,-6.207879186E-1
7.750946210E0,9.664610863E0,1.258923769E0,-5.703890920E-1
7.775946210E0,9.634700775E0,1.280459166E0,-5.667998791E-1
7.800946210E0,9.614361763E0,1.330708504E0,-5.632106066E-1
7.825946210E0,9.645467758E0,1.406231999E0,-5.536393523E-1
